DowntimeID,Production_Date,Location,Downtime_Category,ProcessArea,Downtime,Downtime_Duration
1,2023-10-02 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
2,2023-10-02 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
3,2023-10-02 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
4,2023-10-02 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,15
5,2023-10-02 0:00,Plant A,Planned Downtime,Planned,Safety Updates,525
6,2023-10-03 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
7,2023-10-03 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
8,2023-10-03 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
9,2023-10-03 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,15
10,2023-10-03 0:00,Plant A,Planned Downtime,Planned,Safety Updates,525
11,2023-10-04 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
12,2023-10-04 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
13,2023-10-04 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
14,2023-10-04 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,15
15,2023-10-04 0:00,Plant A,Planned Downtime,Planned,Safety Updates,525
16,2023-10-05 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
17,2023-10-05 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
18,2023-10-05 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
19,2023-10-05 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,30
20,2023-10-05 0:00,Plant A,Planned Downtime,Planned,Safety Updates,330
21,2023-10-05 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,45
22,2023-10-05 0:00,Plant A,Unplanned Downtime,Conveyors,Dirt 1 Jam,97
23,2023-10-06 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
24,2023-10-06 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
25,2023-10-06 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
26,2023-10-10 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
27,2023-10-10 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
28,2023-10-10 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
29,2023-10-10 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,7
30,2023-10-10 0:00,Plant A,Planned Downtime,Planned,Startup,5
31,2023-10-10 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,23
32,2023-10-10 0:00,Plant A,Unplanned Downtime,Mills,Mill Jam,277
33,2023-10-10 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,11
