,Downtimeccategory,Date,Downtime Duration,Planned Operating Time (min)
0,/Planned Operating Time (min),2023-10-02 0:00,600,600
1,Coffee Break #1 ,2023-10-02 0:00,15,600
2,Coffee Break #2 ,2023-10-02 0:00,15,600
3,Lunch Break ,2023-10-02 0:00,30,600
4,Morning Meeting,2023-10-02 0:00,15,600
5,Safety Updates,2023-10-02 0:00,525,600
6,/Planned Operating Time (min),2023-10-03 0:00,600,600
7,Coffee Break #1 ,2023-10-03 0:00,15,600
8,Coffee Break #2 ,2023-10-03 0:00,15,600
9,Lunch Break ,2023-10-03 0:00,30,600
10,Morning Meeting,2023-10-03 0:00,15,600
11,Safety Updates,2023-10-03 0:00,525,600
12,/Planned Operating Time (min),2023-10-04 0:00,600,600
13,Coffee Break #1 ,2023-10-04 0:00,15,600
14,Coffee Break #2 ,2023-10-04 0:00,15,600
15,Lunch Break ,2023-10-04 0:00,30,600
16,Morning Meeting,2023-10-04 0:00,15,600
17,Safety Updates,2023-10-04 0:00,525,600
18,/Planned Operating Time (min),2023-10-05 0:00,600,600
19,Coffee Break #1 ,2023-10-05 0:00,15,600
20,Coffee Break #2 ,2023-10-05 0:00,15,600
21,Lunch Break ,2023-10-05 0:00,30,600
22,Morning Meeting,2023-10-05 0:00,30,600
23,Safety Updates,2023-10-05 0:00,330,600
24,Mag 1 Jam,2023-10-05 0:00,45,600
25,Dirt 1 Jam,2023-10-05 0:00,97,600
26,Actual Tonnage Produced during shift (tons),2023-10-05 0:00,3.51,600
27,/Planned Operating Time (min),2023-10-06 0:00,600,600
28,Coffee Break #1 ,2023-10-06 0:00,15,600
29,Coffee Break #2 ,2023-10-06 0:00,15,600
30,Lunch Break ,2023-10-06 0:00,30,600
31,Actual Tonnage Produced during shift (tons),2023-10-06 0:00,44,600
32,/Planned Operating Time (min),2023-10-10 0:00,600,600
33,Coffee Break #1 ,2023-10-10 0:00,15,600
34,Coffee Break #2 ,2023-10-10 0:00,15,600
35,Lunch Break ,2023-10-10 0:00,30,600
36,Pre-shift Inspection,2023-10-10 0:00,7,600
37,Startup,2023-10-10 0:00,5,600
38,Morning Meeting,2023-10-10 0:00,23,600
39,Mill Jam,2023-10-10 0:00,277,600
40,Mag 1 Jam,2023-10-10 0:00,11,600
41,Mag 1 Electric,2023-10-10 0:00,6,600
42,Mag 2 Jam,2023-10-10 0:00,36,600
43,Mag 3 Jam,2023-10-10 0:00,7,600
44,Mag 3 Electric,2023-10-10 0:00,15,600
45,Actual Tonnage Produced during shift (tons),2023-10-10 0:00,65.2,600
46,/Planned Operating Time (min),2023-10-12 0:00,600,600
47,Coffee Break #1 ,2023-10-12 0:00,15,600
48,Coffee Break #2 ,2023-10-12 0:00,15,600
49,Lunch Break ,2023-10-12 0:00,30,600
50,Pre-shift Inspection,2023-10-12 0:00,7,600
51,Startup,2023-10-12 0:00,8,600
52,Morning Meeting,2023-10-12 0:00,30,600
53,Other 4 (add columns if needed),2023-10-12 0:00,60,600
54,Mag 1 Jam,2023-10-12 0:00,17,600
55,Mag 1 Electric,2023-10-12 0:00,28,600
56,Mag 2 Electric,2023-10-12 0:00,3,600
57,Actual Tonnage Produced during shift (tons),2023-10-12 0:00,289.48,600
58,/Planned Operating Time (min),2023-10-13 0:00,600,600
59,Coffee Break #1 ,2023-10-13 0:00,15,600
60,Coffee Break #2 ,2023-10-13 0:00,15,600
61,Lunch Break ,2023-10-13 0:00,30,600
62,Pre-shift Inspection,2023-10-13 0:00,10,600
63,5S / Routine Cleaning,2023-10-13 0:00,30,600
64,Startup,2023-10-13 0:00,7,600
65,Morning Meeting,2023-10-13 0:00,20,600
